"id_bu","sexo","edad","eval_gob_1","percepcion_2","percepcion_3","percepcion_4","percepcion_5","percepcion_6","democracia_21","confianza_6_d","confianza_6_i","confianza_6_k","confianza_6_o","confianza_6_p","confianza_i","clase_3","clase_4"
"114-93","2",65,1,2,1,1,2,2,1,4,4,4,4,4,1,3,4
"1140-93","2",83,2,1,1,2,4,3,1,3,4,4,2,2,2,3,4
"1141-93","2",65,1,1,2,2,4,3,1,3,4,3,4,3,1.6,2,3
"1142-93","2",30,1,2,1,2,2,3,3,3,3,3,3,3,2,3,4
"1143-93","2",41,2,2,1,2,3,3,1,4,3,3,3,3,1.8,3,4
"1144-93","1",59,1,2,2,2,3,3,2,3,3,3,2,2,2.4,2,3
"1145-93","2",61,1,2,1,1,3,2,3,4,4,4,4,4,1,3,4
"1146-93","2",40,1,3,2,2,3,5,2,4,3,3,3,3,1.8,1,1
"1147-93","1",63,1,1,2,1,3,3,2,2,3,3,3,2,2.4,2,3
"1148-93","1",57,1,2,2,2,4,3,3,3,3,3,3,4,1.8,2,3
"1149-93","2",43,1,1,1,2,3,3,3,4,4,4,4,4,1,3,4
"115-93","1",30,1,2,2,1,3,3,1,3,3,3,3,3,2,2,3
"1150-93","1",68,1,2,1,2,3,2,3,4,3,3,3,3,1.8,3,4
"1151-93","2",68,1,2,1,2,2,2,3,4,4,4,2,4,1.4,3,4
"1153-93","1",27,1,3,2,2,3,3,1,3,4,4,3,4,1.4,2,3
"1155-93","2",52,1,2,2,1,3,3,1,4,3,4,3,3,1.6,2,3
"1156-93","2",65,1,2,2,1,3,3,1,4,4,4,3,3,1.4,2,3
"1157-93","2",79,1,2,2,2,3,3,2,4,4,4,3,4,1.2,2,3
"1158-93","2",68,3,3,3,3,4,4,2,4,4,4,4,4,1,1,1
"1159-93","2",50,1,3,1,2,3,3,3,4,4,4,3,3,1.4,2,3
"116-93","1",34,1,2,2,1,3,3,1,4,4,4,4,4,1,2,3
"1162-93","2",58,2,3,2,2,4,3,1,3,4,3,3,2,2,2,3
"1163-93","2",58,1,3,2,1,3,4,1,4,4,4,1,3,1.8,2,3
"1164-93","1",57,1,2,2,2,3,4,3,4,3,3,3,3,1.8,2,3
"1165-93","1",23,1,4,2,1,4,2,3,3,3,3,2,3,2.2,2,1
"1166-93","1",27,1,3,2,1,3,4,2,3,4,4,4,4,1.2,2,3
"1167-93","1",54,1,3,2,2,3,3,2,3,4,3,3,3,1.8,2,3
"1168-93","2",47,3,3,2,2,3,4,3,3,3,3,3,3,2,2,3
"117-93","1",53,1,1,1,1,3,3,1,4,4,4,3,4,1.2,3,4
"1171-93","1",65,3,2,2,2,4,3,3,3,4,4,4,3,1.4,2,3
"1172-93","1",47,1,3,2,2,4,3,1,3,3,4,2,3,2,2,3
"1173-93","1",59,1,1,2,2,2,3,3,4,4,4,3,4,1.2,3,4
"1174-93","1",69,1,2,3,2,3,2,1,3,3,4,2,3,2,3,4
"1175-93","2",39,1,2,2,2,3,4,3,3,4,4,3,3,1.6,2,3
"1176-93","1",57,1,2,2,1,3,3,1,3,4,4,2,4,1.6,2,3
"1177-93","1",82,3,3,1,3,4,3,3,3,2,4,3,3,2,2,3
"1178-93","2",39,1,3,3,2,2,4,3,3,3,3,3,3,2,1,2
"1179-93","1",26,1,3,2,2,3,4,2,3,3,3,3,2,2.2,2,3
"118-93","1",21,3,4,3,3,3,3,3,3,3,4,3,3,1.8,1,1
"1180-93","1",70,3,3,3,3,3,3,3,3,3,4,3,3,1.8,1,1
"1184-93","2",49,3,2,1,2,2,3,1,3,3,3,3,3,2,3,4
"1187-93","1",73,1,2,1,1,3,2,1,4,4,4,4,2,1.4,3,4
"1188-93","2",62,1,2,1,1,3,4,3,4,4,4,4,4,1,3,2
"1189-93","1",54,1,2,2,1,3,3,3,3,3,3,3,3,2,2,3
"119-93","2",30,3,3,2,3,2,4,3,3,3,3,3,3,2,2,3
"1190-93","2",63,3,3,2,3,3,4,3,4,2,3,3,2,2.2,2,3
"1193-93","1",70,1,1,1,1,2,2,2,4,1,4,4,4,1.6,3,4
"1194-93","2",58,1,3,1,2,3,4,1,4,3,4,2,3,1.8,2,2
"1195-93","2",22,3,4,3,3,3,4,2,3,3,3,2,3,2.2,1,1
"1196-93","1",23,2,2,2,2,4,3,3,4,3,4,3,4,1.4,2,3
"1197-93","2",26,3,4,2,3,4,5,3,3,2,2,2,3,2.6,1,1
"1198-93","1",46,1,3,3,2,4,5,1,1,3,3,3,3,2.4,1,1
"1199-93","2",32,3,2,2,3,3,3,1,3,4,4,3,3,1.6,2,3
"12-93","1",42,1,2,1,1,2,3,1,3,4,3,4,3,1.6,3,4
"120-93","2",18,1,3,2,2,4,4,3,3,3,3,2,3,2.2,2,3
"1200-93","1",33,2,2,2,2,4,3,1,2,3,3,3,3,2.2,2,3
"1201-93","2",59,1,1,2,1,2,4,1,4,4,4,1,3,1.8,3,2
"1203-93","2",69,1,2,2,2,4,3,1,3,3,4,4,4,1.4,2,3
"1204-93","2",22,1,2,2,2,3,4,3,3,3,3,3,3,2,2,3
"1205-93","1",23,1,2,3,1,4,4,2,3,2,2,2,2,2.8,1,2
"1209-93","2",19,3,2,1,2,3,3,1,2,2,2,3,3,2.6,3,4
"121-93","2",52,1,1,1,1,2,2,3,4,4,3,2,3,1.8,3,4
"1211-93","1",22,3,4,3,3,4,4,3,3,1,3,2,2,2.8,1,1
"1213-93","2",38,3,3,2,1,3,4,1,3,3,3,3,3,2,2,3
"1214-93","1",78,1,2,1,1,3,3,3,3,4,3,2,3,2,3,4
"1215-93","2",61,1,2,1,2,3,3,1,4,3,3,3,3,1.8,3,4
"1217-93","1",63,1,2,3,2,2,3,3,3,4,3,3,3,1.8,1,2
"1218-93","1",66,1,2,1,2,2,4,1,3,4,3,3,3,1.8,3,2
"122-93","2",27,1,3,1,2,4,4,3,3,3,3,3,2,2.2,2,2
"1221-93","1",60,1,3,2,2,4,3,3,3,4,3,3,3,1.8,2,3
"1222-93","2",28,3,1,2,3,2,1,3,4,4,4,4,4,1,3,4
"1223-93","1",40,1,1,1,1,3,5,1,4,4,4,4,4,1,3,2
"1224-93","2",71,1,2,1,1,4,3,1,4,3,3,2,2,2.2,2,3
"1225-93","2",41,1,2,2,2,3,4,1,4,4,4,2,4,1.4,2,3
"1226-93","2",23,3,4,2,3,3,4,3,4,1,4,4,4,1.6,2,1
"1227-93","2",43,3,4,3,3,3,3,3,3,1,3,3,3,2.4,1,1
"1228-93","2",33,1,2,2,2,2,4,1,4,4,3,4,4,1.2,3,2
"1229-93","2",37,3,4,2,2,3,3,3,3,3,4,2,3,2,2,3
"123-93","1",35,2,3,2,1,2,3,1,4,3,4,1,4,1.8,2,3
"1230-93","2",38,3,2,1,2,4,3,3,3,3,3,3,3,2,2,3
"1231-93","1",55,3,3,2,2,5,3,2,1,1,1,1,1,4,1,1
"1232-93","1",22,1,2,1,1,4,5,2,4,4,4,3,2,1.6,1,2
"1233-93","2",32,1,2,2,1,3,4,3,3,3,3,2,2,2.4,2,3
"1234-93","1",53,1,3,1,1,4,3,3,3,3,4,1,3,2.2,2,3
"1235-93","2",61,1,4,1,3,4,3,1,4,4,4,1,4,1.6,2,3
"1236-93","1",59,3,3,2,2,2,4,3,2,2,3,2,2,2.8,2,3
"1237-93","1",50,1,3,2,1,3,3,1,4,3,4,3,3,1.6,2,3
"1238-93","2",68,2,3,1,1,3,4,3,3,3,3,3,3,2,2,2
"1239-93","1",44,3,4,2,3,3,4,3,4,2,4,3,4,1.6,2,1
"1240-93","1",49,1,3,1,1,3,3,3,4,3,3,3,3,1.8,2,3
"1241-93","2",22,1,2,1,1,2,3,2,3,3,4,3,3,1.8,3,4
"1242-93","1",26,1,2,2,2,2,5,1,3,3,4,2,4,1.8,1,2
"1243-93","1",38,3,4,2,3,3,3,3,3,2,4,3,2,2.2,2,3
"1244-93","1",61,1,3,2,1,3,3,3,3,3,3,3,3,2,2,3
"1245-93","1",49,1,2,2,1,3,3,2,3,4,3,2,4,1.8,2,3
"1246-93","2",57,3,3,3,2,3,4,3,3,2,3,2,3,2.4,1,1
"1247-93","2",48,1,2,2,2,3,4,1,3,3,3,2,3,2.2,2,3
"1248-93","2",32,2,2,1,1,2,3,3,3,3,3,3,4,1.8,3,4
"1249-93","2",66,1,2,1,2,3,2,1,4,4,4,3,4,1.2,3,4
"125-93","1",39,1,2,2,2,3,3,2,4,3,4,3,4,1.4,2,3
"1250-93","2",58,3,2,2,2,3,3,3,4,2,4,3,4,1.6,2,3
"1251-93","1",57,1,2,2,2,3,3,3,3,4,3,2,3,2,2,3
"1252-93","2",51,1,2,2,1,3,3,1,3,4,3,2,3,2,2,3
"1253-93","2",58,1,3,2,1,4,3,1,4,4,3,3,3,1.6,2,3
"1254-93","2",47,1,2,2,2,4,3,3,3,3,4,2,2,2.2,2,3
"1255-93","1",53,3,3,1,3,4,3,3,4,2,4,3,4,1.6,2,3
"1257-93","2",33,3,2,2,3,3,3,3,4,3,4,3,3,1.6,2,3
"1258-93","1",29,1,3,1,1,3,3,3,3,3,3,3,3,2,2,3
"1259-93","1",51,1,2,1,1,3,3,1,4,4,3,3,3,1.6,3,4
"126-93","1",45,1,2,1,1,2,2,1,4,4,4,4,4,1,3,4
"1260-93","1",61,2,2,2,2,4,4,1,4,3,4,2,4,1.6,2,3
"1261-93","1",68,3,4,3,2,3,3,3,4,2,4,3,3,1.8,1,1
"1262-93","1",49,1,2,2,1,3,3,1,4,4,4,2,4,1.4,2,3
"1263-93","2",30,3,3,3,3,3,3,3,3,2,3,3,3,2.2,1,1
"1264-93","2",74,1,1,2,1,1,3,3,4,4,4,3,4,1.2,3,4
"1265-93","2",75,3,2,3,3,4,3,3,4,3,2,3,3,2,1,2
"1267-93","1",43,3,4,2,2,3,3,1,4,2,4,3,4,1.6,2,3
"1268-93","1",69,1,3,2,1,3,3,3,4,3,4,2,3,1.8,2,3
"1269-93","1",81,3,3,2,3,4,3,3,3,1,4,3,3,2.2,2,3
"1270-93","2",32,1,2,2,1,3,3,1,4,4,4,4,4,1,2,3
"1271-93","1",28,1,2,1,1,4,3,3,2,4,4,3,3,1.8,2,3
"1272-93","1",70,1,3,1,1,4,3,2,2,4,3,2,3,2.2,2,3
"1273-93","1",76,1,2,1,2,3,3,3,3,4,3,4,3,1.6,3,4
"1274-93","1",69,1,2,1,2,3,3,2,3,2,4,2,4,2,3,4
"1275-93","2",49,3,3,3,2,4,3,2,4,4,3,3,4,1.4,1,1
"1276-93","1",67,1,3,2,1,2,3,1,2,2,2,1,2,3.2,2,3
"1277-93","2",69,1,3,3,3,3,4,1,4,4,4,2,4,1.4,1,1
"1278-93","1",32,3,3,2,1,4,3,1,2,4,4,3,3,1.8,2,3
"1279-93","1",26,1,3,2,2,2,3,1,4,4,4,4,4,1,2,3
"128-93","2",36,2,1,2,2,3,3,3,4,4,4,4,4,1,2,3
"1280-93","1",43,1,1,1,1,4,3,2,4,4,4,4,4,1,3,4
"1281-93","2",51,2,3,2,2,3,3,3,3,3,4,3,3,1.8,2,3
"1282-93","1",37,3,5,3,2,4,3,3,3,1,3,3,3,2.4,1,1
"1283-93","2",57,1,2,2,2,3,4,1,3,1,3,3,3,2.4,2,3
"1284-93","2",53,1,3,2,2,2,3,3,3,3,4,3,3,1.8,2,3
"1285-93","2",18,2,2,2,2,3,4,3,4,3,4,3,4,1.4,2,3
"1286-93","2",26,3,3,2,2,4,3,1,3,3,4,3,3,1.8,2,3
"1287-93","1",30,1,3,2,2,3,3,1,3,4,4,3,3,1.6,2,3
"1288-93","2",28,1,2,3,2,3,4,3,3,3,2,3,4,2,1,2
"1289-93","1",26,1,2,2,2,3,4,3,3,3,3,3,3,2,2,3
"1290-93","2",30,1,3,1,2,3,3,3,4,4,3,4,4,1.2,2,3
"1291-93","1",37,3,4,2,2,3,5,3,3,1,3,3,1,2.8,1,1
"1292-93","2",38,1,3,2,2,3,3,3,3,3,3,3,3,2,2,3
"1293-93","2",22,1,2,3,2,2,4,3,3,3,3,3,3,2,1,2
"1294-93","2",23,1,2,1,2,4,4,1,3,4,4,3,3,1.6,3,2
"1295-93","1",30,1,2,2,1,2,3,3,3,3,3,3,3,2,2,3
"1296-93","1",55,3,3,3,2,3,4,1,2,1,3,3,3,2.6,1,1
"1298-93","2",45,1,3,3,2,3,5,3,2,1,1,1,1,3.8,1,1
"1299-93","2",57,1,4,2,2,3,3,2,4,4,3,3,3,1.6,2,3
"13-93","2",54,3,2,1,2,3,3,1,3,3,3,3,3,2,3,4
"130-93","1",67,3,3,2,3,3,3,1,3,4,2,3,3,2,2,3
"1300-93","2",71,1,3,2,1,3,4,2,4,4,4,4,4,1,2,3
"1301-93","1",80,1,2,2,1,2,3,2,2,4,4,4,4,1.4,2,3
"1302-93","1",66,3,3,3,2,3,4,1,4,4,4,4,4,1,1,1
